meal_name,meal_slot,meal_timestamp,protein,fibre,calories,carbohydrates,fat
Breakfast Cereals,Breakfast,1730872553000,10.0,5.5,175.25,36.0,0.25
Black Tea with Lemon,Pre Breakfast,1730859676000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
"Vegetable Dosa, Onion Salad",Dinner,1730827825000,8.309875,5.85439,331.9071,46.36595,12.539298
Green Tea,Evening Snack,1730817324000,0.0,0.0,0.0,0.0,0.0
"Tomato Cucumber Salad, Menthya Bhaat, Plain Curd",Lunch,1730803978000,7.9936857,2.5767589,224.47427,29.492605,8.632181
"Millet Dosa, Cucumber, Vegetable Sambar",Breakfast,1730786367000,12.386836,7.316428,372.13977,58.23741,11.005578
Black Tea with Lemon,Pre Breakfast,1730772637000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
Onion Rava Dosa,Dinner,1730786539000,5.763853,3.15743,291.36182,49.778625,7.496293
Green Tea,Evening Snack,1730786496000,0.0,0.0,0.0,0.0,0.0
"Vegetable Dosa, Carrot Salad, Plain Curd",Lunch,1730786454000,15.812556,10.135971,544.2623,69.3779,22.699575
"Mixed Vegetable Salad, Sambar Idly",Breakfast,1730696950000,9.83197,7.8168135,282.52365,48.37133,5.590912
Onion Dosa,Dinner,1730653589000,4.2952447,2.5262234,180.10027,26.70108,6.412808
Boiled Mixed Vegetable,Breakfast,1730611225000,1.4170963,3.289568,41.77394,8.558019,0.3186967
Black Tea with Lemon,Pre Breakfast,1730605601000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
Mixed Vegetable Salad,Dinner,1730480908000,1.6655892,3.5702438,43.276257,8.885953,0.16891602
Black Tea with Lemon,Evening Snack,1730480860000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
"Kosambri, Beans Poriyal, Plain Rice, Vegetable Sambar, Rasam, Plain Curd, Kajjaya, Sabudana Payasam",Lunch,1730480834000,22.866009,13.288298,808.9903,116.98745,28.395994
"Sambar Idli, Tomato Cucumber Salad",Breakfast,1730480659000,8.788564,5.0884995,254.00943,42.692226,5.5587854
Black Tea with Lemon,Pre Breakfast,1730433559000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
Mixed Vegetable Salad,Dinner,1730393797000,1.1103928,2.3801625,28.850836,5.923969,0.112610675
Badam Milk,Evening Snack,1730391834000,3.4566967,0.45174193,85.43265,5.548529,5.5398192
Green Tea,Evening Snack,1730391767000,0.0,0.0,0.0,0.0,0.0
Kajjaya,Lunch,1730391700000,2.6069953,1.0299819,287.4881,38.77951,13.5322695
"Basmati Pudina Rice, Cucumber Raita",Lunch,1730391634000,5.126333,2.1396182,143.15501,21.174255,4.437273
Black Tea with Lemon,Pre Breakfast,1730344245000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
Onion Dosa,Breakfast,1730272296000,3.2618022,1.9184102,136.76787,20.27676,4.8698764
Black Tea with Lemon,Pre Breakfast,1730266407000,0.42804116,0.015820192,3.2080688,0.4457813,0.012656154
"Molake Hesaru Kalu, Chitranna, Plain Curd",Lunch,1730193819000,10.80711,2.553062,261.06522,35.496853,9.196645
